timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
16536402,16534882,80000.0,1.0,12.965152,25.19325,0.0,255,0,6,4,0,2,0,0,1,1,43
16605143,0,1200.0,0.25786987,0.0,0.84520286,0.0,0,0,0,0,0,0,0,1,0,1,36
17121141,17120361,80000.0,1.0,12.462336,23.483095,0.0,1,240,18,4,0,2,0,0,1,1,43
17535860,17535156,80000.0,1.0,12.462336,23.483095,0.0,255,0,6,4,0,2,0,0,1,1,43
17612478,0,1200.0,0.25786987,0.0,0.29873854,0.0,0,0,0,0,0,0,0,1,0,1,36
18123435,18122746,80000.0,1.0,12.992392,24.96771,0.0,1,240,18,4,0,2,0,0,1,1,43
18530582,18530042,80000.0,1.0,12.992392,24.96771,0.0,255,0,6,4,0,2,0,0,1,1,43
18617316,0,1200.0,0.25786987,0.0,0.49141562,0.0,0,0,0,0,0,0,0,1,0,1,36
19119349,19118748,80000.0,1.0,13.126913,24.932673,0.0,1,240,18,4,0,2,0,0,1,1,43
19542745,19540192,80000.0,1.0,13.126913,24.932673,0.0,255,0,6,4,0,2,0,0,1,1,43
19622044,0,1200.0,0.25786987,0.0,0.380411,0.0,0,0,0,0,0,0,0,1,0,1,36
21554903,21552462,80000.0,1.0,13.014761,25.168669,0.0,255,0,6,4,0,2,0,0,1,1,43
21640823,0,1200.0,0.25786987,0.0,0.38186213,0.0,0,0,0,0,0,0,0,1,0,1,36
