timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
76905887,32767,32767,32767,32767,32767,32767,32767
76909867,32767,32767,32767,32767,32767,32767,32767
76913869,32767,32767,32767,32767,-70,-64,-232
76917882,32767,32767,32767,32767,32767,32767,32767
76921868,32767,32767,32767,32767,32767,-55,32767
76925869,32767,32767,32767,32767,32767,32767,-251
76929895,32767,32767,32767,32767,32767,32767,32767
76933869,32767,32767,32767,32767,-68,-72,-235
76937875,32767,32767,32767,32767,32767,32767,32767
76941869,32767,32767,32767,32767,-47,-40,32767
76945869,32767,32767,32767,32767,32767,32767,-253
76949906,32767,32767,32767,32767,32767,-33,32767
76953869,32767,32767,32767,32767,-56,32767,-236
76957898,32767,32767,32767,32767,32767,32767,32767
76961869,32767,32767,32767,32767,32767,-40,32767
76965875,32767,32767,32767,32767,32767,32767,-254
76969877,32767,32767,32767,32767,32767,-40,32767
76973869,32767,32767,32767,32767,32767,32767,-233
76977880,32767,32767,32767,32767,-68,32767,32767
76981869,32767,32767,32767,32767,32767,-64,-211
76985875,32767,32767,32767,32767,-46,32767,32767
76989888,32767,32767,32767,32767,32767,-40,32767
76993868,32767,32767,32767,32767,32767,32767,-232
76997869,32767,32767,32767,32767,-56,32767,32767
77001891,32767,32767,32767,32767,32767,-64,-215
77005876,32767,32767,32767,32767,32767,32767,32767
77009868,32767,32767,32767,32767,32767,-40,32767
77013912,32767,32767,32767,32767,32767,32767,32767
77017878,32767,32767,32767,32767,32767,32767,-275
77021869,32767,32767,32767,32767,-64,-72,32767
77025889,32767,32767,32767,32767,32767,32767,-251
77029869,32767,32767,32767,32767,32767,-40,32767
77033883,32767,32767,32767,32767,-68,32767,-236
77037867,32767,32767,32767,32767,32767,32767,32767
77041913,32767,32767,32767,32767,32767,-73,32767
77045881,32767,32767,32767,32767,-55,32767,32767
77049869,32767,32767,32767,32767,32767,-55,-276
77053884,32767,32767,32767,32767,32767,32767,-235
77057889,32767,32767,32767,32767,32767,32767,32767
77061869,32767,32767,32767,32767,32767,-72,-216
77065119,32767,32767,32767,32767,32767,32767,32767
77069905,32767,32767,32767,32767,-68,-65,32767
77073901,32767,32767,32767,32767,32767,32767,-231
77077869,32767,32767,32767,32767,32767,-40,32767
77081869,32767,32767,32767,32767,-70,32767,-209
77085868,32767,32767,32767,32767,32767,32767,32767
77089875,32767,32767,32767,32767,-48,-55,32767
77093905,32767,32767,32767,32767,32767,32767,-231
77097942,32767,32767,32767,32767,32767,-41,32767
77101869,32767,32767,32767,32767,32767,32767,32767
77105868,32767,32767,32767,32767,32767,32767,-250
77109868,32767,32767,32767,32767,32767,-64,32767
77113875,32767,32767,32767,32767,-68,32767,32767
77117898,32767,32767,32767,32767,32767,-40,-270
77121869,32767,32767,32767,32767,32767,32767,32767
77125891,32767,32767,32767,32767,-58,-32,-251
77129869,32767,32767,32767,32767,32767,32767,32767
77133875,32767,32767,32767,32767,32767,32767,-236
77137880,32767,32767,32767,32767,-68,-40,32767
77141869,32767,32767,32767,32767,32767,32767,-215
77145878,32767,32767,32767,32767,32767,32767,32767
77149868,32767,32767,32767,32767,32767,-72,32767
77153883,32767,32767,32767,32767,32767,32767,-235
77157890,32767,32767,32767,32767,32767,-64,32767
77161875,32767,32767,32767,32767,-70,32767,32767
77165889,32767,32767,32767,32767,32767,-40,-253
77169869,32767,32767,32767,32767,-48,32767,32767
77173902,32767,32767,32767,32767,32767,32767,32767
77177868,32767,32767,32767,32767,32767,-64,-273
77181923,32767,32767,32767,32767,-59,32767,-216
77185875,32767,32767,32767,32767,32767,-39,32767
77189869,32767,32767,32767,32767,32767,32767,32767
77193906,32767,32767,32767,32767,32767,32767,-237
77197869,32767,32767,32767,32767,32767,-64,32767
77201896,32767,32767,32767,32767,32767,32767,-213
77205884,32767,32767,32767,32767,-58,-40,32767
77209916,32767,32767,32767,32767,32767,32767,32767
77213878,32767,32767,32767,32767,32767,-32,-234
77217869,32767,32767,32767,32767,-64,32767,32767
77221893,32767,32767,32767,32767,32767,32767,-216
77225876,32767,32767,32767,32767,32767,-40,32767
