timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
9903277,9903085,0.00035398745,-0.00023015402,-0.00019048127,0.0,0.0,0.0,0.0,0.0
10007954,10007872,-7.314776e-05,0.00014771098,-0.00045290618,0.0,0.0,0.0,0.0,0.0
10107166,10107082,-0.00015852982,-0.0005042428,-0.0006631928,0.0,0.0,0.0,0.0,0.0
10211237,10211076,-1.654265e-05,-0.0004643649,-0.00038787175,0.0,0.0,0.0,0.0,0.0
10311154,10311069,0.0002964568,-0.00037708165,-0.0006978495,0.0,0.0,0.0,0.0,0.0
10411168,10411070,-0.00047375145,-0.00017189681,-0.00050374545,0.0,0.0,0.0,0.0,0.0
10515190,10515070,-0.00011611586,0.0004901577,-0.0003719148,0.0,0.0,0.0,0.0,0.0
10615219,10615070,-3.1808618e-06,-0.0006203666,-0.0007686472,0.0,0.0,0.0,0.0,0.0
10715163,10715082,0.00065436366,0.0003144745,-0.0004655094,0.0,0.0,0.0,0.0,0.0
10819186,10819092,7.905767e-05,-4.060628e-06,-0.00055226276,0.0,0.0,0.0,0.0,0.0
10919193,10919092,-0.0003790364,-9.1592265e-05,-0.00056484493,0.0,0.0,0.0,0.0,0.0
11019204,11019076,0.0007421392,0.0005176022,-0.00083121855,0.0,0.0,0.0,0.0,0.0
11123162,11123070,0.00019947163,-0.00020723249,-0.00077823113,0.0,0.0,0.0,0.0,0.0
11223221,11223079,-0.022805808,0.02642418,-0.0015766548,0.08,0.0,0.0,0.0,-1.0
11327180,11327087,-0.019518102,0.024805652,-0.00384114,0.08,0.0,0.0,0.0,-1.0
11427153,11427070,-0.018703468,0.032597814,-0.0018341908,0.08,0.0,0.0,0.0,-1.0
11527196,11527107,-0.008392098,0.02608634,-0.010811524,0.08,0.0,0.0,0.0,-1.0
11631153,11631070,-0.007596106,0.021907883,-0.0068367883,0.08,0.0,0.0,0.0,-1.0
11731154,11731070,-0.0069852867,0.0202433,-0.002883337,0.08,0.0,0.0,0.0,-1.0
11831176,11831087,-0.0016023242,0.02344185,-0.0027981882,0.08,0.0,0.0,0.0,-1.0
11935242,11935141,0.0011832127,0.019867562,-1.7161277e-05,0.08,0.0,0.0,0.0,-1.0
12035204,12035077,-0.013025476,0.012986754,-0.0058728363,0.08,0.0,0.0,0.0,-1.0
12139165,12139070,-0.0060037742,0.017608639,-0.0047010914,0.08,0.0,0.0,0.0,-1.0
12239180,12239070,-0.009070173,0.020973895,-0.0013891639,0.08,0.0,0.0,0.0,-1.0
12339178,12339092,0.01523641,0.010489522,0.0031740828,0.08,0.0,0.0,0.0,-1.0
12443215,12443070,0.002409346,0.021829408,0.0057427017,0.08,0.0,0.0,0.0,-1.0
12543224,12543072,-0.014971026,0.006160102,0.003922754,0.08,0.0,0.0,0.0,-1.0
12643170,12643070,-0.006664809,0.01927736,-0.0012681319,0.08,0.0,0.0,0.0,-1.0
12747210,12747071,-0.0059227613,0.014461322,-0.00088042836,0.08,0.0,0.0,0.0,-1.0
12847160,12847070,-0.006655804,0.018633388,-0.0016121373,0.08,0.0,0.0,0.0,-1.0
12951180,12951070,-0.011276315,0.0078111333,-0.00029273966,0.08,0.0,0.0,0.0,-1.0
13055172,13055070,0.004150043,0.00674263,-0.0014917754,0.08,0.0,0.0,0.0,-1.0
13155198,13155079,-0.009643198,0.016587818,0.0017484983,0.08,0.0,0.0,0.0,-1.0
13259178,13259076,0.00028761642,0.015837999,0.0008049533,0.08,0.0,0.0,0.0,-1.0
13359164,13359070,-0.013168462,0.023950186,-0.00042715104,0.08,0.0,0.0,0.0,-1.0
13459223,13459111,-0.010980126,0.028702362,-0.0023812281,0.08,0.0,0.0,0.0,-1.0
13563191,13563070,-0.012323306,0.029588308,-0.0019507533,0.08,0.0,0.0,0.0,-1.0
13663145,13663070,0.0012417441,0.033405427,-0.0007722039,0.08,0.0,0.0,0.0,-1.0
13767185,13767110,0.008097696,0.023723053,0.00031527522,0.08,0.0,0.0,0.0,-1.0
13867201,13867115,-0.027399132,0.017263813,0.0013733627,0.08,0.0,0.0,0.0,-1.0
13967172,13967070,0.026848618,0.03350735,0.0014029524,0.08,0.0,0.0,0.0,-1.0
14071172,14071080,-0.0067318943,0.022414004,0.0007440784,0.08,0.0,0.0,0.0,-1.0
14171225,14171075,0.010332234,0.018276706,-0.0019340649,0.08,0.0,0.0,0.0,-1.0
14274416,14274270,0.012191306,0.008178558,-0.0023695778,0.08,0.0,0.0,0.0,-1.0
14375225,14375076,-0.009549572,0.030922191,0.00063097005,0.08,0.0,0.0,0.0,-1.0
14475193,14475080,0.0058715134,0.015048303,-0.000116154246,0.08,0.0,0.0,0.0,-1.0
14579210,14579076,-0.0011435368,0.02390816,0.00064585684,0.08,0.0,0.0,0.0,-1.0
14679176,14679070,0.0003830469,0.025529495,-0.00044689502,0.08,0.0,0.0,0.0,-1.0
14779180,14779069,0.0043410733,0.01876963,0.001847265,0.08,0.0,0.0,0.0,-1.0
43538420,43538296,0.03993853,-0.15060525,0.047772944,0.6766064,0.0,0.0,0.0,-1.0
43642378,43642301,0.07022692,-0.128867,0.050741877,0.66905725,0.0,0.0,0.0,-1.0
43742393,43742304,-0.03223991,-0.19199048,0.046720847,0.6458485,0.0,0.0,0.0,-1.0
43842456,43842327,0.092735425,-0.11854006,0.049065385,0.67382795,0.0,0.0,0.0,-1.0
43946449,43946269,0.06469019,-0.20444565,0.045380574,0.6698042,0.0,0.0,0.0,-1.0
44046391,44046272,0.025041357,-0.1845772,0.05493726,0.66386867,0.0,0.0,0.0,-1.0
44150358,44150285,-0.055613015,-0.20823039,0.058745623,0.6541609,0.0,0.0,0.0,-1.0
44250375,44250288,0.012637125,-0.1818432,0.06178475,0.64936584,0.0,0.0,0.0,-1.0
44350408,44350278,0.038810033,-0.14946328,0.06915721,0.6459557,0.0,0.0,0.0,-1.0
44454361,44454271,-0.010253928,-0.16024575,0.075145945,0.64188755,0.0,0.0,0.0,-1.0
44554381,44554270,0.04504675,-0.1677447,0.06795775,0.6428323,0.0,0.0,0.0,-1.0
44654402,44654306,0.04207599,-0.14170353,0.064710796,0.6443089,0.0,0.0,0.0,-1.0
44758404,44758313,0.030294137,-0.15253796,0.059495453,0.64939326,0.0,0.0,0.0,-1.0
44858343,44858270,0.012330384,-0.23318584,0.06749736,0.65391856,0.0,0.0,0.0,-1.0
44962427,44962305,-0.04508937,-0.18580475,0.06855805,0.6568415,0.0,0.0,0.0,-1.0
45066378,45066276,0.006856182,-0.18531251,0.06742151,0.6580045,0.0,0.0,0.0,-1.0
45166390,45166277,-0.030252742,-0.1969209,0.06879114,0.6605709,0.0,0.0,0.0,-1.0
45270431,45270281,-0.0775048,-0.20733117,0.060237564,0.6627937,0.0,0.0,0.0,-1.0
45370402,45370314,0.059134398,-0.15339847,0.049511626,0.6661259,0.0,0.0,0.0,-1.0
45470363,45470270,0.0133521315,-0.19176613,0.04522396,0.6689821,0.0,0.0,0.0,-1.0
45574343,45574270,-0.051135086,-0.23801447,0.040625587,0.66801906,0.0,0.0,0.0,-1.0
45674350,45674277,0.06158448,-0.16111857,0.031959057,0.6685009,0.0,0.0,0.0,-1.0
45774343,45774270,0.04948347,-0.18462157,0.02817723,0.6672537,0.0,0.0,0.0,-1.0
45878448,45878321,0.023599317,-0.21261325,0.024562506,0.6650708,0.0,0.0,0.0,-1.0
45978396,45978276,0.047016818,-0.111627385,0.022464035,0.66191757,0.0,0.0,0.0,-1.0
46082368,46082294,0.091030635,-0.10055009,0.014415804,0.6603382,0.0,0.0,0.0,-1.0
46181576,46181502,0.06100252,-0.16017716,0.01654517,0.6636258,0.0,0.0,0.0,-1.0
46285550,46285470,0.07737982,-0.120377995,0.013677865,0.6702891,0.0,0.0,0.0,-1.0
46385580,46385470,0.07330774,-0.13422418,0.015732719,0.67101175,0.0,0.0,0.0,-1.0
46485578,46485487,0.014908254,-0.2272541,0.012899937,0.6747753,0.0,0.0,0.0,-1.0
46585564,46585489,0.04303046,-0.18351941,0.013542423,0.6765295,0.0,0.0,0.0,-1.0
46689568,46689470,-0.0038201697,-0.17552459,0.008336544,0.6766346,0.0,0.0,0.0,-1.0
46789566,46789470,0.068880305,-0.2590533,0.015478006,0.67963207,0.0,0.0,0.0,-1.0
46893560,46893470,0.04997099,-0.22832802,0.020939074,0.681344,0.0,0.0,0.0,-1.0
46993560,46993487,0.070780456,-0.21574895,0.01855892,0.6818178,0.0,0.0,0.0,-1.0
47097590,47097509,-0.019330088,-0.2668709,0.026466116,0.68174607,0.0,0.0,0.0,-1.0
47197562,47197472,-0.034290634,-0.23862343,0.033350572,0.6816474,0.0,0.0,0.0,-1.0
47297581,47297470,-0.048578266,-0.17339502,0.034813076,0.68092954,0.0,0.0,0.0,-1.0
47401543,47401470,0.036036346,-0.12045272,0.03785592,0.6813881,0.0,0.0,0.0,-1.0
47501552,47501478,0.043047484,-0.23834154,0.045056418,0.6800436,0.0,0.0,0.0,-1.0
47601591,47601511,0.0038377699,-0.18234198,0.057882406,0.6816859,0.0,0.0,0.0,-1.0
47705564,47705491,0.052050143,-0.2038703,0.065396935,0.6795656,0.0,0.0,0.0,-1.0
47805562,47805487,0.0496152,-0.22213335,0.07014986,0.67943734,0.0,0.0,0.0,-1.0
47909573,47909476,-0.010660804,-0.18340546,0.07743614,0.681885,0.0,0.0,0.0,-1.0
48009560,48009469,0.024170002,-0.20431575,0.07202885,0.6832771,0.0,0.0,0.0,-1.0
48109563,48109470,-0.063101694,-0.18753569,0.06487097,0.68597263,0.0,0.0,0.0,-1.0
48213605,48213495,0.04503319,-0.14868744,0.059057593,0.6922738,0.0,0.0,0.0,-1.0
48313586,48313469,0.054996587,-0.17617586,0.057264894,0.6940143,0.0,0.0,0.0,-1.0
