timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
30888678,32767,32767,32767,32767,32767,32767,32767
30892680,32767,32767,32767,32767,-49,32767,32767
30896670,32767,32767,32767,32767,32767,-64,-18
30900676,32767,32767,32767,32767,32767,32767,-5
30904714,32767,32767,32767,32767,32767,-41,32767
30908670,32767,32767,32767,32767,32767,32767,32767
30912719,32767,32767,32767,32767,32767,32767,-23
30916670,32767,32767,32767,32767,-67,-72,32767
30920679,32767,32767,32767,32767,32767,32767,-11
30924670,32767,32767,32767,32767,-46,-40,32767
30928670,32767,32767,32767,32767,32767,32767,32767
30932731,32767,32767,32767,32767,32767,-33,-4
30936670,32767,32767,32767,32767,-54,32767,32767
30940682,32767,32767,32767,32767,32767,32767,32767
30944670,32767,32767,32767,32767,32767,-55,-23
30948670,32767,32767,32767,32767,32767,32767,32767
30952708,32767,32767,32767,32767,32767,32767,-19
30956670,32767,32767,32767,32767,32767,-72,32767
30960681,32767,32767,32767,32767,-71,32767,32767
30964669,32767,32767,32767,32767,32767,32767,32767
30968683,32767,32767,32767,32767,-45,32767,-28
30972719,32767,32767,32767,32767,32767,-41,-20
30976670,32767,32767,32767,32767,32767,32767,32767
30980670,32767,32767,32767,32767,-55,32767,32767
30984670,32767,32767,32767,32767,32767,-64,-21
30988714,32767,32767,32767,32767,32767,32767,32767
30992683,32767,32767,32767,32767,32767,-39,-13
30996670,32767,32767,32767,32767,32767,32767,32767
31000686,32767,32767,32767,32767,-46,32767,-4
31004670,32767,32767,32767,32767,32767,-64,32767
31008690,32767,32767,32767,32767,32767,32767,32767
31012670,32767,32767,32767,32767,-60,-40,-20
31016698,32767,32767,32767,32767,32767,32767,32767
31020675,32767,32767,32767,32767,32767,32767,32767
31024670,32767,32767,32767,32767,-71,-72,-24
31028676,32767,32767,32767,32767,32767,32767,32767
31032677,32767,32767,32767,32767,32767,-40,-1
