timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
30888678,-0.0030147592,-0.0030702304,-0.00064015127,4006,0,0.22117908,0.069766074,-9.66486,4006
30892680,-0.0012037144,-0.0020224059,0.00020381466,4002,0,0.22607692,0.06927469,-9.64172,4002
30896670,-0.00056217046,-0.0032196783,0.0015615824,3990,0,0.22368029,0.061745547,-9.648055,3990
30900676,-0.0029090985,-0.002248106,-0.00021076249,4006,0,0.2360856,0.053887222,-9.639772,4006
30904714,-0.0034444407,-0.00042725983,-0.00026411103,4038,0,0.24041535,0.056728862,-9.636576,4038
30908670,-0.004087773,-0.0035152577,0.00050836813,3956,0,0.23168555,0.062214334,-9.669366,3956
30912719,-0.0035538378,-0.0029946142,0.0011573976,4049,0,0.22895372,0.041508816,-9.638879,4049
30916670,-0.0015038874,-0.0018048161,-0.00022685016,3951,0,0.2241563,0.04844729,-9.647038,3951
30920679,-0.0027110626,-0.0027318234,-0.0016078153,4009,0,0.22789198,0.07004681,-9.656851,4009
30924670,-0.0013246338,-0.0036015254,-0.0009979133,3991,0,0.23827115,0.07091555,-9.67634,3991
30928670,-0.0008858133,-0.0007373543,-0.00041298007,4000,0,0.23643088,0.056509595,-9.671427,4000
30932731,-0.0022624813,-0.00096669217,0.00066541106,4061,0,0.22967109,0.058637425,-9.681188,4061
30936670,-0.0032349615,-0.0024991073,0.0017037974,3939,0,0.22009055,0.055247594,-9.660797,3939
30940682,0.00039354851,-0.0009788097,0.00087241543,4012,0,0.2283364,0.05868096,-9.661328,4012
30944670,0.00038764044,-0.0033692988,-0.0006950106,3988,0,0.22637841,0.059951533,-9.674017,3988
30948670,-0.0014211197,-0.0024434614,-0.00022291702,4000,0,0.22061013,0.057059143,-9.675566,4000
30952708,-0.0030192302,-0.0029722506,-0.00012393107,4038,0,0.23690465,0.062203683,-9.671332,4038
30956670,-0.0008888311,-0.0034847895,-0.0011090875,3962,0,0.2522938,0.06385501,-9.655674,3962
30960681,-0.002176297,-0.0028620977,-0.0004469778,4011,0,0.2469965,0.060016714,-9.656273,4011
30964669,-0.0026940717,-0.0034133848,0.0006118573,3988,0,0.24741746,0.0587776,-9.665748,3988
30968683,-0.0015293246,-0.0027565567,-2.877952e-05,4014,0,0.25174522,0.067358926,-9.669381,4014
30972719,-0.0023962262,-0.002133083,0.00052440184,4036,0,0.2373723,0.07443072,-9.660152,4036
30976670,-0.0046142573,-0.0002896135,-0.0004937101,3951,0,0.22406143,0.07184487,-9.652872,3951
30980670,-0.0034679808,-0.0023925097,-0.0021249554,4000,0,0.23460089,0.056529675,-9.649116,4000
30984670,-0.0002602239,-0.002875354,0.00016837561,4000,0,0.24505115,0.051988944,-9.655955,4000
30988714,-0.0007835294,-0.0018183858,0.0005297256,4044,0,0.24374044,0.05424538,-9.652063,4044
30992683,-0.0026980368,-0.00060756144,-0.00039382657,3969,0,0.25082028,0.061342888,-9.649585,3969
30996670,-0.0024840613,0.0011657462,0.00049199647,3987,0,0.23405284,0.055015035,-9.667671,3987
31000686,-0.001103785,-0.0013773685,-0.00020883579,4016,0,0.2477618,0.07209582,-9.686769,4016
31004670,-0.0016501363,-0.0006300492,0.00023497749,3984,0,0.24927755,0.06812514,-9.67507,3984
31008690,-0.0023701387,-0.00257516,0.00094042544,4020,0,0.24642588,0.053133838,-9.669679,4020
31012670,-0.0015182801,-0.0022363814,0.00062696286,3980,0,0.24558051,0.039290335,-9.647617,3980
31016698,-0.0019636566,-0.001265219,-0.00074291724,4028,0,0.25558254,0.037921306,-9.648692,4028
31020675,-0.0028089772,-0.0016235908,0.00065341196,3977,0,0.2532038,0.045745183,-9.656595,3977
31024670,-0.0028058612,-0.001924343,3.8467547e-06,3995,0,0.24745372,0.052042123,-9.663418,3995
31028676,-0.0037628058,0.00042640293,0.00027183566,4006,0,0.22439532,0.04147577,-9.682525,4006
31032677,-0.0032208045,-0.0016203838,0.0011822676,4001,0,0.22584833,0.034272857,-9.680314,4001
31036684,-0.0017621943,-0.002185269,-0.0019057677,4007,0,0.22590381,0.044995565,-9.671536,4007
31040691,-0.0020634525,-0.0022156972,-0.00095039525,4007,0,0.22970691,0.05286089,-9.677667,4007
31044720,-0.0011995612,-0.0005491006,0.00076085504,4029,0,0.23591849,0.06236098,-9.6760025,4029
31048677,-0.0012176809,-0.0022269962,-1.3722154e-05,3957,0,0.24165407,0.06986982,-9.67108,3957
31052670,-0.0023664932,-0.0016905414,-0.00039681618,3993,0,0.24877404,0.06752896,-9.672244,3993
31056670,-0.0033220062,-0.0038436053,0.0015414514,4000,0,0.2422349,0.06625378,-9.661914,4000
31060698,-0.00013948689,-0.0007736432,0.001605798,4028,0,0.24136,0.05736588,-9.641062,4028
31064670,-0.0025849547,-0.0008684919,0.0010828908,3972,0,0.23330972,0.06104703,-9.632947,3972
31067883,-0.003335815,-0.003487943,0.0003199854,3213,0,0.22179128,0.047099058,-9.660271,3213
31072687,-0.0019131,-0.0033668454,0.000895078,4804,0,0.22955279,0.05375002,-9.6627245,4804
