timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
30821476,-0.007014355,-0.17158833,0.71304345
30890268,-0.01133998,-0.1796184,0.6898653
30900667,-0.007122515,-0.16273782,0.6959428
30909468,0.009629336,-0.16285503,0.70159495
30920670,-0.0050258953,-0.17764018,0.69706625
30929469,-0.011266048,-0.17135392,0.7015541
30939106,0.005449383,-0.17135392,0.7014484
30949474,-0.02393118,-0.17944258,0.6813078
30968674,-0.002944751,-0.17123671,0.6957434
30978270,-0.009204206,-0.17339075,0.6971792
30988705,-0.0154277915,-0.17991142,0.7042865
30998269,-0.011338339,-0.16687007,0.6901248
31008681,-0.011338339,-0.16687007,0.6901248
31017468,-0.011301921,-0.16698727,0.69588274
31028667,-0.00714127,-0.16692866,0.69297737
31037468,-0.023855606,-0.15842976,0.6932561
31048669,0.0012346543,-0.16698727,0.69580346
31057472,0.0012346543,-0.16698727,0.69580346
31066268,0.0074759014,-0.16477464,0.6914886
31076667,-0.013347743,-0.18200682,0.7027905
31086268,-0.011230178,-0.17572059,0.7072255
31096667,-0.0050992784,-0.1816552,0.68546396
31107077,-0.0050992784,-0.1816552,0.68546396
31116667,-0.009240078,-0.1690241,0.6915078
31125477,-0.002946392,-0.18398502,0.69548386
31136667,-0.005080522,-0.17746437,0.6884295
31145469,-0.0008111673,-0.18200682,0.7027112
31164667,-0.015537046,-0.1795598,0.68701285
31174295,0.0033489347,-0.18619768,0.69971937
31184722,0.0011976889,-0.17111951,0.689959
31194269,-0.015517197,-0.16687007,0.6901512
31204709,-0.015517197,-0.16687007,0.6901512
31213468,-0.017617097,-0.17746437,0.6885088
31224689,-0.013403463,-0.1903299,0.6939807
31233468,-0.00084867905,-0.1903885,0.6967803
31244673,0.001198236,-0.16687007,0.69004554
31253468,0.001198236,-0.16687007,0.69004554
31262330,-0.017581774,-0.18608047,0.6940936
31272667,-0.011303562,-0.1797356,0.6956232
31282337,-0.017542621,-0.16495046,0.700284
31292695,0.0033103281,-0.20307824,0.69361544
31303076,0.0033103281,-0.20307824,0.69361544
31312667,-0.019679485,-0.179677,0.6927971
31321468,-0.013386349,-0.1988874,0.6966866
31332667,-0.009204206,-0.17339075,0.6971792
31341468,0.0012120684,-0.2009242,0.6922325
31360667,-0.015482967,-0.18398502,0.6955632
31370314,-0.005083805,-0.20296103,0.6879105
31380703,-0.0029651483,-0.18817589,0.6925184
31390298,-0.02177884,-0.18602186,0.69124115
31400668,-0.02177884,-0.18602186,0.69124115
31409480,-0.017561924,-0.17339075,0.69723207
31420667,-0.021747896,-0.22863351,0.69613403
31429474,-0.017636947,-0.19015408,0.68537027
31440667,-0.021724762,-0.1904471,0.6997915
31449468,-0.021724762,-0.1904471,0.6997915
31458268,-0.015627544,-0.17501734,0.6727046
31468667,-0.009170525,-0.19475517,0.7025046
31478268,-0.017617645,-0.1817138,0.68842226
31488667,-0.0155375935,-0.18380922,0.68692636
31498268,-0.0155375935,-0.18380922,0.68692636
31508667,0.0012859987,-0.19265974,0.7039213
31517468,-0.007143459,-0.18392642,0.69263136
31527871,-0.0050275363,-0.1903885,0.6968068
31537491,-0.01548406,-0.19248392,0.69539016
31547882,-0.01548406,-0.19248392,0.69539016
31556679,-0.0050269896,-0.18613908,0.6968933
31566288,-0.007144553,-0.19242531,0.69245833
31576699,-0.013404558,-0.19882879,0.69380766
31587905,0.005448289,-0.17985281,0.7012754
31596668,0.005448289,-0.17985281,0.7012754
31605467,-0.023808094,-0.21384835,0.7007684
31615867,-0.0008663415,-0.18608047,0.6939879
31625489,-0.013420579,-0.18177241,0.69127476
31635867,-0.019715903,-0.1795598,0.68703926
31645478,-0.019715903,-0.1795598,0.68703926
31655869,-0.009206395,-0.1903885,0.6968332
31664668,-0.009171071,-0.19900459,0.7024181
31675868,-0.019681126,-0.19242531,0.69253767
31684668,-0.015466399,-0.19679198,0.6981826
31694274,-0.015466399,-0.19679198,0.6981826
31703867,-0.0071440055,-0.18817589,0.6925449
31713468,-0.013383613,-0.17764018,0.6971191
31723875,-0.017544262,-0.17769879,0.70002455
31733477,-0.0029077858,-0.16710448,0.70158774
31743868,-0.0029077858,-0.16710448,0.70158774
31752670,-0.015447094,-0.1883517,0.7012346
31762310,-0.011267143,-0.17985281,0.7013811
31772696,-0.03427954,-0.1903885,0.6969918
31783867,-0.013405652,-0.20732768,0.6936347
31792689,-0.013405652,-0.20732768,0.6936347
31801487,-0.0007945991,-0.19481377,0.70533067
31811867,-0.0070535084,-0.19271834,0.7068531
31821494,-0.011343262,-0.20511505,0.6893463
31831867,-0.017527694,-0.1905057,0.70264393
31841468,-0.017527694,-0.1905057,0.70264393
31851867,-0.021707648,-0.19900459,0.70249736
31860668,-0.0050617657,-0.17327353,0.6913949
31871867,-0.00081335544,-0.19900459,0.7023652
31880667,-0.011287541,-0.19679198,0.6981562
31890303,-0.011287541,-0.19679198,0.6981562
31899868,-0.017452123,-0.16949293,0.7145922
31909487,-0.025867749,-0.19481377,0.7054893
31919898,-0.021723669,-0.18194823,0.69996446
31929486,-0.025847899,-0.18212403,0.7086277
31939868,-0.025847899,-0.18212403,0.7086277
31948669,-0.009151768,-0.1905643,0.70547
31959871,-0.03218019,-0.18404363,0.6985478
31968682,-0.025904167,-0.19469658,0.6997314
31979867,-0.01546421,-0.1797942,0.6985286
31988671,-0.01546421,-0.1797942,0.6985286
31997507,-0.011288087,-0.20104142,0.69806963
32007888,0.0012126155,-0.19667476,0.692319
32017478,-0.02805705,-0.19236672,0.6897116
32027879,-0.013386349,-0.1988874,0.6966866
32038268,-0.013386349,-0.1988874,0.6966866
32047880,-0.019625952,-0.1883517,0.701261
32056697,-0.023789337,-0.2096575,0.70373386
32067867,-0.019609932,-0.20540807,0.70379394
32076677,-0.011304655,-0.1882345,0.69545025
32095867,-0.0028741031,-0.18846892,0.7069131
32105468,-0.02376894,-0.19271834,0.7069588
32115867,-0.030156951,-0.20296103,0.6880691
32125485,-0.030045507,-0.18631488,0.7056887
32135868,-0.030045507,-0.18631488,0.7056887
32144677,0.0033665963,-0.1905057,0.7025118
32155867,-0.013311325,-0.18212403,0.7085484
32164673,-0.007087738,-0.17560337,0.70144117
32175890,-0.009243361,-0.19452076,0.69098884
32184678,-0.009243361,-0.19452076,0.69098884
32193468,-0.009187639,-0.18619768,0.69979864
32203867,-0.0028746503,-0.19271834,0.7068266
32213468,-0.009168336,-0.17775738,0.7028506
32223867,-0.02376894,-0.19271834,0.7069588
32234268,-0.02376894,-0.19271834,0.7069588
32243874,-0.011433214,-0.19632316,0.6751246
32252683,-0.01745431,-0.1864907,0.7142462
32263867,-0.0111771915,-0.18864472,0.7156028
32272703,-0.007089379,-0.1883517,0.7011817
32291917,-0.023786055,-0.18416084,0.7042529
32301468,-0.017619833,-0.19871157,0.6880763
32311892,-0.007123609,-0.17123671,0.6957698
32321468,-0.01752879,-0.19900459,0.70247096
32331867,-0.01752879,-0.19900459,0.70247096
32340672,-0.009204206,-0.17339075,0.6971792
32351867,-0.0029094268,-0.17985281,0.7013283
32360723,-0.011231273,-0.18421945,0.70705247
32371867,-0.00084813236,-0.18613908,0.69686687
32380697,-0.00084813236,-0.18613908,0.69686687
32389468,-0.01958844,-0.17997003,0.7071918
32399876,-0.0029121626,-0.20110002,0.7008958
32409468,0.0012490335,-0.19679198,0.69807684
32419916,-0.013402916,-0.18608047,0.6940672
32430285,-0.013402916,-0.18608047,0.6940672
32439883,0.0032733635,-0.20721047,0.68777114
32448668,-0.0029458448,-0.1797356,0.6955704
32459896,-0.015412865,-0.20546667,0.70664644
32468668,-0.03212611,-0.18846892,0.7070981
32487893,-0.009077837,-0.18229984,0.71715885
32498296,-0.021741878,-0.18188962,0.6970855
32507874,-0.00079186383,-0.17356655,0.70576316
32518309,-0.0030021134,-0.19230811,0.68667406
32527873,-0.0030021134,-0.19230811,0.68667406
32536667,-0.019662369,-0.1882345,0.6955031
32547073,-0.009224604,-0.1903299,0.6939542
32556716,-0.017508937,-0.18631488,0.7056094
32567067,-0.015501176,-0.18392642,0.69268423
32576673,-0.015501176,-0.18392642,0.69268423
32587067,-0.013331175,-0.19481377,0.70541
32595895,-0.0029646012,-0.18392642,0.6926049
32607068,-0.01758287,-0.19457936,0.6939206
32615882,-0.00918545,-0.16919991,0.70014465
32625468,-0.00918545,-0.16919991,0.70014465
32635079,-0.0217071,-0.19475517,0.70258385
32644668,-0.0008503205,-0.20313685,0.69652086
32655092,-0.005010422,-0.198946,0.6995127
32664673,-0.013366497,-0.18619768,0.6998251
32675068,-0.013366497,-0.18619768,0.6998251
32683868,-0.02384068,-0.18398502,0.69561607
32695067,-0.027963819,-0.17566198,0.7044523
32703869,-0.009205848,-0.18613908,0.6969197
32715068,-0.0029833575,-0.1881173,0.68963945
32723868,-0.0029833575,-0.1881173,0.68963945
32732667,-0.019589534,-0.18846892,0.70701885
32743086,-0.023842867,-0.20098281,0.69527006
32752712,-0.013403463,-0.1903299,0.6939807
32763080,-0.011323412,-0.19242531,0.6924848
32772668,-0.011323412,-0.19242531,0.6924848
32783117,-0.0029110683,-0.19260113,0.70106876
32791868,-0.01130575,-0.19673337,0.6952773
32803104,-0.017527146,-0.18625627,0.7027304
32811868,0.0012677895,-0.19260113,0.70104235
32821468,0.0012677895,-0.19260113,0.70104235
32831104,-0.007143459,-0.18392642,0.69263136
32840668,-0.0029839047,-0.19236672,0.68955296
32851120,-0.028056506,-0.1881173,0.68979806
32860668,-0.019661823,-0.18398502,0.6955896
32871092,-0.019661823,-0.18398502,0.6955896
32879868,-0.013386349,-0.1988874,0.6966866
32891092,-0.017541526,-0.15645157,0.70045704
32899879,-0.01754481,-0.18194823,0.69993806
32911091,-0.011268784,-0.19260113,0.7011216
32919868,-0.011268784,-0.19260113,0.7011216
32928693,-0.01960829,-0.19265974,0.70405346
32939067,-0.019662369,-0.1882345,0.6955031
32948701,-0.023805358,-0.19260113,0.7012009
32959089,-0.0071054003,-0.17129532,0.6986487
32969468,-0.0071054003,-0.17129532,0.6986487
32979072,-0.023824114,-0.19679198,0.69823545
32987868,-0.0071605737,-0.17536896,0.6899254
32999120,-0.013383613,-0.17764018,0.6971191
33007869,-0.015447642,-0.19260113,0.70114803
33027081,0.0033301786,-0.1903885,0.6967539
33036667,0.0012490335,-0.19679198,0.69807684
33047087,-0.027892625,-0.18864472,0.71570855
33056668,-0.013348289,-0.18625627,0.702704
33067068,-0.013348289,-0.18625627,0.702704
33075868,-0.021834563,-0.19434495,0.6824313
33087072,-0.019641973,-0.17129532,0.698728
33095867,-0.011231819,-0.18846892,0.706966
33107074,-0.02386053,-0.19667476,0.6924776
33115868,-0.02386053,-0.19667476,0.6924776
33124668,0.0012528631,-0.16704588,0.69868237
33135067,-0.015482967,-0.18398502,0.6955632
33144705,-0.0070899264,-0.19260113,0.70109516
33155068,-0.015443812,-0.16285503,0.70175356
33165471,-0.015443812,-0.16285503,0.70175356
33175068,-0.019697694,-0.1796184,0.68991816
33183885,-0.02805705,-0.19236672,0.6897116
33195069,-0.009168336,-0.17775738,0.7028506
33203880,-0.0050109695,-0.20319545,0.69942623
33223067,-0.017508937,-0.18631488,0.7056094
33232668,-0.013349932,-0.19900459,0.7024445
33243067,0.0033483875,-0.1904471,0.6996329
33252667,0.0075460016,-0.18625627,0.70257187
33263074,0.0075460016,-0.18625627,0.70257187
